hour,price_eur_mwh,load_mw,wind_onshore,wind_offshore,solar,ror,biomass,waste,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
0,1.3,60368.02460452598,49761.249604525976,-0.0,-0.0,1592.7749999999999,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
1,1.3,58990.05578036284,48401.75578036284,-0.0,-0.0,1574.3,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
2,1.3,57477.77428173753,46908.59928173753,-0.0,-0.0,1555.175,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
3,1.3,56193.09335446168,45621.644604461675,-0.0,9.29875,1548.15,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
4,1.3,56466.87095174704,45893.10595174704,-0.0,18.49,1541.275,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
5,1.3,55613.17559987311,45022.993099873114,-0.0,21.6075,1554.575,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
6,1.3,56062.64486627032,45463.22111627034,-0.0,25.4237499999785,1560.0,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
7,1.3,58811.85239017498,46759.669890175,-0.0,1479.3074999999785,1558.8750000000002,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
8,1.3,61414.929269939326,42525.79801993932,-0.0,8285.83125,1589.3,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
9,1.3,64516.87259726245,37702.75509726245,-0.0,16181.8675,1618.25,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
10,1.3,67094.18823522155,33642.319485221546,-0.0,22795.64375,1642.225,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
11,1.3,68432.033925273,32989.07642527303,-0.0,24765.95749999998,1663.0,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
12,1.3,66797.48313272951,34328.13063272952,-0.0,21798.5275,1656.825,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
13,1.3,65386.0568957718,40355.0393957718,-0.0,14402.742499999998,1614.275,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
14,1.3,66770.59483659528,50496.67858659528,-0.0,5670.14125,1589.7749999999999,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
15,1.3,69464.70550458896,58464.65050458896,-0.0,393.88,1592.1749999999995,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
16,1.3,71838.18531676396,61184.67656676397,-0.0,39.18375,1600.325,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
17,1.3,72033.19791722974,61396.67291722974,-0.0,30.099999999999998,1592.4250000000002,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
18,1.3,70529.38542684792,59885.70917684792,-0.0,25.10125,1604.575,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
19,1.3,67657.23237642768,57038.37237642768,-0.0,25.585,1579.275,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
20,1.3,65286.58630085125,54683.17755085127,-0.0,23.0587499999785,1566.35,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,0.0
21,1.3,62594.182315127175,61411.582315127176,-0.0,-0.0,1568.6,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,8178.0
22,1.3,59252.723842119674,63520.13528682429,-0.0,-0.0,1562.8249999999998,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,21582.466986916428
23,1.3,56805.212661306825,67081.69047619047,-0.0,-0.0,1553.9,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,40747.06968920473
24,1.3,54165.20060110418,64403.1488095238,-0.0,-0.0,1550.85,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,59871.755969287566
25,1.3,53112.757268702706,60590.990079365074,-0.0,-0.0,1553.35,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,77049.93939603827
26,1.3,53515.95290450722,57849.15277777778,-0.0,-0.0,1533.775,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,90489.67527437801
27,1.3,54179.59469496287,54902.87103174603,-0.0,6.0737499999999995,1539.5249999999999,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,100475.23535768985
28,1.3,56754.269805636926,53008.017857142855,-0.0,12.20125,1530.125,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,106400.0
29,3.0,63788.63449298013,50209.63888888889,3021.303104091237,12.7925,1530.9,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,106400.0
30,3.0,69067.72476836997,44621.18650793651,13861.98201043346,16.931250000000002,1553.6249999999998,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,106400.0
31,104.21153846153845,73486.4217690165,39170.09523809524,18668.641304347828,391.78375,1601.275,4000.0,1014.0,-0.0,-0.0,0.0,8640.626476573438,-0.0,-0.0,-0.0,-0.0,106400.0
32,104.21153846153845,76328.72398049489,32806.44246031745,19393.369565217392,3290.9512499999996,1611.875,4000.0,1014.0,-0.0,-0.0,0.0,14212.085704960053,-0.0,-0.0,-0.0,-0.0,106400.0
33,104.21153846153845,77149.6703537239,26987.351190476184,16552.581521739132,8339.36624999998,1617.2999999999995,4000.0,1014.0,-0.0,-0.0,0.0,18639.071391508594,-0.0,-0.0,-0.0,-0.0,106400.0
34,104.21153846153845,78486.71100496894,22959.93253968254,16775.217391304344,12623.509999999978,1589.05,4000.0,1014.0,-0.0,-0.0,0.0,19525.00107398207,-0.0,-0.0,-0.0,-0.0,106400.0
35,104.21153846153845,79379.20922731204,20962.081349206343,17490.896739130432,13711.41,1595.3,4000.0,1014.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,105769.24881356744
36,104.21153846153845,78759.03953240275,21088.763888888883,17744.510869565216,11982.7025,1612.2749999999999,4000.0,1014.0,-0.0,-0.0,0.0,7629.731986526451,-0.0,-0.0,-0.0,-0.0,90498.96852135322
37,104.21153846153844,77115.18249125712,20135.450396825396,16616.08695652174,7299.411249999978,1656.575,4000.0,1014.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,83149.93531685896
38,104.21153846153845,76768.82259518544,20588.05753968254,16812.798913043476,2217.77875,1701.75,4000.0,1014.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,72280.72969971373
39,104.21153846153845,78136.93774435807,22814.76785714286,17248.532608695652,108.30624999999999,1748.95,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,43470.74387206504
40,104.21153846153844,80894.93629202878,26091.62896825396,19660.271739130432,46.3325,1785.85,4000.0,1014.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,33934.13113109448
41,104.21153846153845,81015.1124850503,28366.027777777777,18030.896739130436,52.29875,1789.5749999999998,4000.0,1014.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,25848.387153863143
42,104.21153846153845,79751.68458226378,31858.87896825397,18959.592391304348,35.528749999978494,1775.075,4000.0,1014.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,23651.918953128257
43,104.21153846153845,75860.54561223663,33635.44642857142,19127.771739130436,16.82375,1610.775,4000.0,1014.0,-0.0,-0.0,0.0,16455.728694534788,-0.0,-0.0,-0.0,-0.0,23651.918953128257
44,104.21153846153845,72561.72199441683,33439.49007936508,19168.614130434784,11.98625,1318.525,4000.0,1014.0,-0.0,-0.0,0.0,13609.10653461697,-0.0,-0.0,-0.0,-0.0,23651.918953128257
45,104.21153846153845,69724.37882198593,32679.121031746028,21502.66304347826,-0.0,1510.95,4000.0,1014.0,-0.0,-0.0,0.0,9017.644746761645,-0.0,-0.0,-0.0,-0.0,23651.918953128257
46,104.21153846153845,65407.4065249179,33414.390873015866,20516.739130434784,-0.0,1650.9749999999995,4000.0,1014.0,-0.0,-0.0,0.0,4811.301521467249,-0.0,-0.0,-0.0,-0.0,23651.918953128257
47,78.87014446153844,61347.08059933474,33891.04761904762,19381.385869565216,-0.0,1615.4749999999995,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,25874.6192168002
48,78.87014446153844,59163.91196099606,34244.35317460317,19337.9347826087,-0.0,1595.8500000000001,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,30249.175833507958
49,78.87014446153844,58703.011143547774,35800.6865079365,20124.864130434784,-0.0,1599.6750000000002,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,37066.682444004415
50,78.87014446153844,59068.36995545081,36998.83134920634,18948.91304347826,-0.0,1611.45,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,43930.37866765084
51,78.87014446153844,60733.286811772254,41139.652777777774,16912.173913043476,9.782500000000002,1616.3,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,51570.65615153787
52,78.87014446153844,63364.443445104334,45161.18452380951,13930.02717391304,18.5975,1627.7,4000.0,1014.0,-0.0,-0.0,0.0,4000.0,-0.0,-0.0,-0.0,-0.0,57127.40335631572
